"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 00:00","2018","11","01","00:00","6.1","","3.9","","86","","0.0","","28","","6","","","","98.12","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 01:00","2018","11","01","01:00","5.0","","3.3","","89","","0.0","","27","","6","","","","98.18","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 02:00","2018","11","01","02:00","4.3","","2.8","","90","","0.0","","27","","3","","","","98.20","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 03:00","2018","11","01","03:00","3.6","","2.4","","92","","0.0","","29","","4","","","","98.22","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 04:00","2018","11","01","04:00","3.4","","2.5","","93","","0.0","","20","","7","","","","98.26","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 05:00","2018","11","01","05:00","4.1","","2.8","","91","","0.0","","22","","8","","","","98.26","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 06:00","2018","11","01","06:00","4.1","","2.6","","90","","0.0","","19","","4","","","","98.22","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 07:00","2018","11","01","07:00","3.9","","2.5","","91","","0.0","","17","","3","","","","98.23","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 08:00","2018","11","01","08:00","3.9","","2.7","","92","","0.0","","12","","5","","","","98.21","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 09:00","2018","11","01","09:00","4.2","","3.0","","92","","0.0","","18","","5","","","","98.25","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 10:00","2018","11","01","10:00","3.8","","2.6","","92","","0.0","","13","","6","","","","98.24","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 11:00","2018","11","01","11:00","4.1","","2.9","","92","","0.0","","","","0","","","","98.27","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 12:00","2018","11","01","12:00","3.8","","2.7","","93","","0.0","","13","","6","","","","98.24","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 13:00","2018","11","01","13:00","4.4","","3.2","","92","","0.0","","13","","7","","","","98.27","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 14:00","2018","11","01","14:00","5.4","","3.9","","90","","0.0","","9","","3","","","","98.22","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 15:00","2018","11","01","15:00","6.4","","4.7","","89","","0.0","","12","","4","","","","98.21","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 16:00","2018","11","01","16:00","7.2","","5.2","","87","","0.0","","","","0","","","","98.19","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 17:00","2018","11","01","17:00","7.7","","4.3","","79","","0.0","","18","","9","","","","98.14","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 18:00","2018","11","01","18:00","7.9","","4.5","","79","","0.0","","16","","10","","","","98.06","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 19:00","2018","11","01","19:00","7.5","","4.6","","82","","0.0","","17","","11","","","","98.09","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 20:00","2018","11","01","20:00","7.0","","5.4","","90","","0.0","","15","","6","","","","98.00","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 21:00","2018","11","01","21:00","6.6","","5.3","","91","","0.0","","14","","10","","","","97.97","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 22:00","2018","11","01","22:00","6.3","","5.2","","92","","0.9","","9","","5","","","","97.88","","","","","","NA"
"-79.78","44.23","EGBERT CS","611E001","2018-11-01 23:00","2018","11","01","23:00","6.1","","5.0","","93","","0.5","","3","","3","","","","97.90","","","","","","NA"
