"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 00:00","2023","09","01","00:00","18.9","","10.1","","56","","0.0","","","","","","","","100.71","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 01:00","2023","09","01","01:00","17.1","","10.9","","67","","0.0","","","","","","","","100.79","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 02:00","2023","09","01","02:00","16.3","","11.5","","73","","0.0","","","","","","","","100.86","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 03:00","2023","09","01","03:00","15.7","","11.1","","74","","0.0","","","","","","","","100.91","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 04:00","2023","09","01","04:00","15.7","","10.5","","71","","0.0","","","","","","","","100.95","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 05:00","2023","09","01","05:00","15.5","","10.4","","72","","0.0","","","","","","","","101.00","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 06:00","2023","09","01","06:00","14.9","","10.2","","74","","0.0","","","","","","","","101.03","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 07:00","2023","09","01","07:00","14.4","","10.4","","77","","0.0","","","","","","","","101.04","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 08:00","2023","09","01","08:00","13.9","","10.8","","81","","0.0","","","","","","","","101.05","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 09:00","2023","09","01","09:00","13.9","","10.7","","81","","0.0","","","","","","","","101.06","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 10:00","2023","09","01","10:00","13.9","","10.6","","81","","0.0","","","","","","","","101.08","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 11:00","2023","09","01","11:00","13.9","","10.8","","82","","0.0","","","","","","","","101.14","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 12:00","2023","09","01","12:00","14.7","","11.2","","79","","0.0","","","","","","","","101.19","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 13:00","2023","09","01","13:00","17.2","","11.4","","69","","0.0","","","","","","","","101.23","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 14:00","2023","09","01","14:00","19.2","","12.0","","63","","0.0","","","","","","","","101.27","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 15:00","2023","09","01","15:00","20.8","","12.3","","59","","0.0","","","","","","","","101.28","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 16:00","2023","09","01","16:00","21.1","","10.9","","52","","0.0","","","","","","","","101.28","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 17:00","2023","09","01","17:00","21.8","","11.9","","53","","0.0","","","","","","","","101.23","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 18:00","2023","09","01","18:00","22.3","","11.9","","52","","0.0","","","","","","","","101.19","","25","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 19:00","2023","09","01","19:00","23.1","","12.3","","50","","0.0","","","","","","","","101.13","","26","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 20:00","2023","09","01","20:00","23.6","","12.5","","50","","0.0","","","","","","","","101.07","","26","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 21:00","2023","09","01","21:00","23.0","","12.8","","53","","0.0","","","","","","","","101.00","","26","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 22:00","2023","09","01","22:00","22.2","","13.1","","56","","0.0","","","","","","","","100.94","","25","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-01 23:00","2023","09","01","23:00","21.7","","13.5","","59","","0.0","","","","","","","","100.90","","25","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 00:00","2023","09","02","00:00","20.5","","12.8","","61","","0.0","","","","","","","","100.87","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 01:00","2023","09","02","01:00","19.6","","13.2","","67","","0.0","","","","","","","","100.85","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 02:00","2023","09","02","02:00","19.7","","13.8","","69","","0.0","","","","","","","","100.83","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 03:00","2023","09","02","03:00","19.1","","14.8","","76","","0.0","","","","","","","","100.81","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 04:00","2023","09","02","04:00","18.8","","14.6","","76","","0.0","","","","","","","","100.79","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 05:00","2023","09","02","05:00","18.4","","13.5","","73","","0.0","","","","","","","","100.80","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 06:00","2023","09","02","06:00","17.7","","14.7","","83","","0.0","","","","","","","","100.73","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 07:00","2023","09","02","07:00","17.2","","15.3","","89","","0.0","","","","","","","","100.65","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 08:00","2023","09","02","08:00","16.8","","15.1","","90","","0.0","","","","","","","","100.62","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 09:00","2023","09","02","09:00","16.2","","14.3","","88","","0.0","","","","","","","","100.61","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 10:00","2023","09","02","10:00","15.8","","13.2","","84","","0.0","","","","","","","","100.61","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 11:00","2023","09","02","11:00","16.3","","13.1","","81","","0.0","","","","","","","","100.57","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 12:00","2023","09","02","12:00","17.2","","13.9","","81","","0.0","","","","","","","","100.65","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 13:00","2023","09","02","13:00","18.6","","14.6","","77","","0.0","","","","","","","","100.56","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 14:00","2023","09","02","14:00","20.2","","15.2","","73","","0.0","","","","","","","","100.50","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 15:00","2023","09","02","15:00","21.3","","15.8","","71","","0.0","","","","","","","","100.46","","26","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 16:00","2023","09","02","16:00","24.0","","16.5","","63","","0.0","","","","","","","","100.46","","29","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 17:00","2023","09","02","17:00","26.5","","15.2","","50","","0.0","","","","","","","","100.44","","31","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 18:00","2023","09","02","18:00","25.2","","15.1","","54","","0.0","","","","","","","","100.31","","29","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 19:00","2023","09","02","19:00","23.9","","16.0","","61","","0.0","","","","","","","","100.29","","29","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 20:00","2023","09","02","20:00","22.9","","16.9","","69","","0.0","","","","","","","","100.27","","28","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 21:00","2023","09","02","21:00","23.7","","16.5","","64","","0.0","","","","","","","","100.11","","29","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 22:00","2023","09","02","22:00","23.3","","17.9","","72","","0.0","","","","","","","","100.15","","29","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-02 23:00","2023","09","02","23:00","24.1","","17.5","","67","","0.0","","","","","","","","100.12","","30","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 00:00","2023","09","03","00:00","23.6","","17.6","","69","","0.0","","","","","","","","100.13","","29","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 01:00","2023","09","03","01:00","22.1","","17.4","","75","","0.0","","","","","","","","100.12","","28","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 02:00","2023","09","03","02:00","21.3","","17.4","","78","","0.0","","","","","","","","100.16","","27","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 03:00","2023","09","03","03:00","20.8","","17.3","","80","","0.0","","","","","","","","100.10","","26","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 04:00","2023","09","03","04:00","20.1","","17.1","","83","","0.0","","","","","","","","100.08","","25","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 05:00","2023","09","03","05:00","19.4","","17.0","","86","","0.0","","","","","","","","100.06","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 06:00","2023","09","03","06:00","19.0","","17.2","","89","","0.0","","","","","","","","100.03","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 07:00","2023","09","03","07:00","18.6","","16.8","","89","","0.0","","","","","","","","100.02","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 08:00","2023","09","03","08:00","19.0","","16.7","","86","","0.0","","","","","","","","100.02","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 09:00","2023","09","03","09:00","19.5","","16.3","","82","","0.0","","","","","","","","100.03","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 10:00","2023","09","03","10:00","18.1","","16.3","","89","","0.0","","","","","","","","100.06","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 11:00","2023","09","03","11:00","17.9","","16.5","","92","","0.0","","","","","","","","100.07","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 12:00","2023","09","03","12:00","19.4","","16.7","","84","","0.0","","","","","","","","100.09","","","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 13:00","2023","09","03","13:00","20.7","","16.9","","79","","0.0","","","","","","","","100.07","","26","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 14:00","2023","09","03","14:00","21.9","","17.0","","73","","0.0","","","","","","","","100.06","","27","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 15:00","2023","09","03","15:00","23.4","","17.5","","70","","0.0","","","","","","","","100.05","","29","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 16:00","2023","09","03","16:00","24.9","","17.8","","65","","0.0","","","","","","","","100.01","","31","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 17:00","2023","09","03","17:00","25.9","","17.2","","59","","0.0","","","","","","","","99.98","","31","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 18:00","2023","09","03","18:00","27.9","","18.1","","55","","0.0","","","","","","","","99.94","","34","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 19:00","2023","09","03","19:00","27.8","","18.3","","56","","0.0","","","","","","","","99.86","","34","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 20:00","2023","09","03","20:00","27.5","","18.5","","58","","0.0","","","","","","","","99.79","","34","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 21:00","2023","09","03","21:00","27.3","","18.9","","60","","0.0","","","","","","","","99.76","","34","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 22:00","2023","09","03","22:00","26.6","","19.1","","64","","0.0","","","","","","","","99.75","","33","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-03 23:00","2023","09","03","23:00","26.9","","19.9","","66","","0.0","","","","","","","","99.77","","34","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-04 00:00","2023","09","04","00:00","26.7","","19.4","","64","","0.0","","","","","","","","99.75","","34","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-04 01:00","2023","09","04","01:00","25.6","","19.6","","69","","0.0","","","","","","","","99.80","","33","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-04 02:00","2023","09","04","02:00","24.5","","20.0","","76","","0.0","","","","","","","","99.79","","32","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-04 03:00","2023","09","04","03:00","23.7","","19.9","","79","","0.0","","","","","","","","99.80","","31","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-04 04:00","2023","09","04","04:00","23.0","","19.9","","82","","0.0","","","","","","","","99.79","","30","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-04 05:00","2023","09","04","05:00","23.2","","19.8","","81","","0.0","","","","","","","","99.76","","31","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-04 06:00","2023","09","04","06:00","23.1","","19.6","","81","","0.0","","","","","","","","99.72","","30","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-04 07:00","2023","09","04","07:00","22.3","","19.5","","84","","0.0","","","","","","","","99.72","","29","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-04 08:00","2023","09","04","08:00","22.1","","19.5","","85","","0.0","","","","","","","","99.74","","29","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-04 09:00","2023","09","04","09:00","22.2","","19.0","","82","","0.0","","","","","","","","99.77","","29","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-04 10:00","2023","09","04","10:00","21.7","","18.8","","84","","0.0","","","","","","","","99.82","","28","","","","NA"
"-79.40","43.67","TORONTO CITY","6158355","2023-09-04 11:00","2023","09","04","11:00","21.1","","18.6","","86","","0.0","","","","","","","","99.86","","28","","","","NA"
